#steamid	name	skin	emission	charm
76561198242357590	haswa	24be33ca59402a3f56dd6f67aa390e18d885c37931c93ad17f07ca6f0c675dc8	ad8f72f5a949b6fe630fab94d83b544bc46bfd92759258c6a0d72966cd896485	-
76561198103496657	stitch fumanji	a0174cca9f0dcd4e30726c07ae5b79076af0b5c70eca915c08254446af11b1d2	7767984dba9aefc891d40fd017e83d5445ddf24eb5576df61a0f0e54577fac2a	1e6ac7add786ea258113b014cb227e989d3ad5cb7398eb1a5a1c056d6cd3f5ca
76561199062681787	d	9d71ae5caacc8dd4d5da3dcc2d887d97880dad72e86f1080e1bebf7c8a631257	4a90444aa20ed4e6b189a4e36e252d4b296daa48425419268d2e924f442d485c	-
76561198190531842	alittletoosaucy	8614c5863caa725536c05246a9b33a102249367843139385ba5999694b9f27b0	5333baade8e5464bed3ee11080065b46dcaeaec8bb82da9c83782d240e1f1063	-
76561198211457533	mokie	32b8ea63ff943907e916434a7e392cbea0c4132e3f1ba67121b1e7a74581ae8a	f0cea5ab8fe2b665c0e95cd97f359a26b63221a5cb4fecc289e37aceb6951d2a	-
76561199111237680	rowbman	ab7a5039226d8ee73c29b3ad5c1e76fa0ac324f23130f0aa29081d13ba837838	-	-
76561198169262146	dead3y3	ef4fcc3e7c64368511a7ef86335b3eef8c9d1ca9eefd217ff718f24677b0eefb	ce3298fe0d3bd6dac55d85e8db348a5c3d2f1c6d814c5ebbd8e3070b6595e3c5	-
76561199730901395	arslaanmalik960	becc83cfa1d49fe588fe346c358848e96bea623a630d5bc5fc543461d1218126	-	-
76561199890954951	複| ᴋʏᴀᴍɪツ	c3a804401fd0b53b6c7d6fbb648e39a79043ff7fb0385561e3f5d6460b5b8b22	682aaef03c8d9d6b669e97f749319798682b21aaf0c5cf1e65a1396476fca841	-
76561198396684828	gregharrington240z	7874d2010e4741fdd5ef115f539793e7aeac24d7296283ccd156eb7e6208f8b2	abc4f4c8d1f33824a2f74e5e6e818ab2a6a113f9bebdeea42edb5a1c0030e6ee	-
76561199543956818	zsomici	9f28d6c5c823fb8e7aebaabb7f69bd74a5ac3c686205bea74e50505c0d7a07e4	4eba4cd854e89ed3025b55b0db904b91901daa4da49227debb9f40f590a4ad6e	-
76561198423706912	cl3m3ntyn3	214cef85708be7c4e2dc908f9f4dc07e880122d9ce5ae5b1b31ff3ea1dd0c2f9	4dd73fded4829b8b5437e2969db1fddb4d937782c3f371ff0f9e7d23c705965c	3223dbc663f76956ac0b008bd400fac5f62f68313e3f73d2d102b8340a7eec3f
76561198028848943	plasmadic	95eaf206d6c55d97b91974dd86b4045d36bff443828f839b71ce96866eac24a2	220f19133e3c5f9a25ba3157bdcbcbe590fbd83efcf8d15f22cc0f6403fe759c	-
76561199482363407	gaming_gamer115	6e95e184b9ffc26ceea51313dee25ab7d776a2ed7dc2062e1edd3b45e7107f9d	fffe022b5b537614a97750ec721ad2a1b9f675c3f0aa4683f3460d7c610919cd	-
76561199013842065	thisthorgames	935da44c3159389b6f57d0d10a6c6496ad2c4386b8a76e67acb0eebf05784822	b0c87f9d17e92eeba37a46aee7107d13ea077975aae85e7577796f83d2de4d53	-
76561199274534041	officialcurs3d	09df45c67e94e54abe00c33fceee200caece751049077e3163610132f3fea6c7	-	e9708f88581f90bf5b83442f42c0fdcb614b7981469e48ff0aa6392f90ee7576
76561198309117352	marioundela	c8386440d26379a557a0943101bb13c1688ccb20993a7c58ede36cf9e8dc7b54	-	e9708f88581f90bf5b83442f42c0fdcb614b7981469e48ff0aa6392f90ee7576
76561199445969877	pizzaprizzaog	220f19133e3c5f9a25ba3157bdcbcbe590fbd83efcf8d15f22cc0f6403fe759c	-	3223dbc663f76956ac0b008bd400fac5f62f68313e3f73d2d102b8340a7eec3f
76561199428072336	actuallyhalo	f3d2a3d2c386fb7182e785b1be2a4f67eaecc9524283414614c2644fe104a4b2	4eae83d644b226be466fe8048da3b0b2cfe17bd46c75dfdc5316c8253d03deaa	-
76561199013466225	gaster	c4e07385cbdc958eecef62e7cfeef937015a4b1283f7875b08a3b4818fc19e1e	-	-
76561199185141664	raven	b0c87f9d17e92eeba37a46aee7107d13ea077975aae85e7577796f83d2de4d53	-	-
76561199518052705	connor.zvёzdochka	64742d354410a88f53d1a9c95f5d55c2d1bd64c18e65ee4308b0090efbde895e	-	-
